"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.util.OptionalStreamRecipe","12","10","0","0.0","0","16100","4600.0","4500"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionSecurityToUpdate","12","10","10700","2680.0","2600","11700","2160.0","2100"
"org.openrewrite.java.migrate.lang.SwitchCaseReturnsToSwitchExpression","12","10","0","0.0","0","3234900","1835004.0","1787300"
"org.openrewrite.java.migrate.Java8toJava11","12","10","26600","10232.0","10100","25000","15856.0","15700"
"org.openrewrite.java.migrate.net.MigrateHttpURLConnectionHttpServerErrorToHttpInternalError","12","10","0","0.0","0","53200","25596.0","25400"
"org.openrewrite.java.migrate.ReplaceAWTGetPeerMethod","12","10","0","0.0","0","11100","3068.0","3000"
"org.openrewrite.java.migrate.lang.ExplicitRecordImport","12","10","0","0.0","0","426300","344032.0","334700"
"org.openrewrite.scala.migrate.UpgradeScala_2_12","12","10","12100","2808.0","2800","22900","5088.0","5000"
"org.openrewrite.java.migrate.RemovedModifierAndConstantBootstrapsConstructors","12","10","8800","2808.0","2700","23300","7648.0","7500"
"org.openrewrite.java.migrate.javax.JavaxXmlStreamAPIs","12","10","11100","3320.0","3300","24200","8688.0","8300"
"org.openrewrite.java.migrate.RemovedSecurityManagerMethods","12","10","0","0.0","0","1476600","458744.0","454000"
"org.openrewrite.maven.RemoveManagedDependency","12","10","0","0.0","0","184100","122876.0","122200"
"org.openrewrite.java.migrate.RemovedToolProviderConstructor","12","10","8700","1660.0","1600","24100","7152.0","7000"
"org.openrewrite.java.migrate.MXBeanRule","12","10","0","0.0","0","1880200","458744.0","449500"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicLongArrayWeakCompareAndSetToWeakCompareAndSetPlain","12","10","10100","2296.0","2300","20900","4320.0","4200"
"org.openrewrite.java.migrate.RemovedRuntimeTraceMethods","12","10","12500","2936.0","2900","35000","9696.0","9300"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceArrayWeakCompareAndSetToWeakCompareAndSetPlain","12","10","9400","2684.0","2600","18500","5088.0","4900"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMinorToInterim","12","10","12700","4600.0","4400","13000","2288.0","2300"
"org.openrewrite.staticanalysis.ReplaceDeprecatedRuntimeExecMethods","12","10","0","0.0","0","1566500","557048.0","541500"
"org.openrewrite.java.RemoveMethodInvocations","12","10","0","0.0","0","271100","12284.0","12200"
"org.openrewrite.java.migrate.DeprecatedLogRecordThreadID","12","10","12500","4600.0","4500","28800","16368.0","16300"
"org.openrewrite.java.migrate.net.JavaNetAPIs","12","10","16200","3440.0","3400","34100","6336.0","6300"
"org.openrewrite.java.ChangeMethodAccessLevel","12","10","0","0.0","0","121100","21500.0","21500"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime","12","10","0","0.0","0","3300","1212.0","1200"
"org.openrewrite.github.SetupJavaUpgradeJavaVersion","12","10","0","0.0","0","143300","38880.0","38300"
"org.openrewrite.java.migrate.AddLombokMapstructBinding","12","10","51800","21472.0","21500","19800","6112.0","5900"
"org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName","12","10","13400","3448.0","3400","26400","6128.0","6100"
"org.openrewrite.java.migrate.util.OptionalNotEmptyToIsPresent","12","10","0","0.0","0","274600","81912.0","81600"
"org.openrewrite.java.migrate.DeprecatedCountStackFramesMethod","12","10","10300","3320.0","3300","29300","8672.0","8300"
"org.openrewrite.java.migrate.JREThrowableFinalMethods","12","10","0","0.0","0","230600","102384.0","98600"
"org.openrewrite.java.migrate.ReplaceLocalizedStreamMethods","12","10","0","0.0","0","873900","360444.0","353200"
"org.openrewrite.staticanalysis.BigDecimalRoundingConstantsToEnums","12","10","0","0.0","0","115600","55280.0","54200"
"org.openrewrite.java.migrate.javax.MigrateElementKindVisitor6To9","12","10","18300","7672.0","7600","25300","12272.0","12000"
"org.openrewrite.gradle.AddDependency","12","10","200500","32256.0","32100","100900","32640.0","32100"
"org.openrewrite.java.migrate.UpgradeJavaVersion","12","10","0","0.0","0","7224800","1507324.0","1445100"
"org.openrewrite.java.migrate.lang.MigrateClassNewInstanceToGetDeclaredConstructorNewInstance","12","10","0","0.0","0","563700","98296.0","94800"
"org.openrewrite.java.migrate.util.ReplaceMathRandomWithThreadLocalRandomRecipe","12","10","0","0.0","0","61500","38896.0","38200"
"org.openrewrite.java.migrate.UpdateJakartaAnnotationsIfForJavax","12","10","2290300","1899520.0","1875800","60700","23488.0","23300"
"org.openrewrite.java.dependencies.RemoveDependency","12","10","104900","77792.0","75800","2953900","2096896.0","2060000"
"org.openrewrite.java.ChangePackage","12","10","0","0.0","0","2645600","180220.0","212600"
"org.openrewrite.java.migrate.lombok.LombokOnXToOnX_","12","10","0","0.0","0","144500","106480.0","105100"
"org.openrewrite.staticanalysis.PrimitiveWrapperClassConstructorToValueOf","12","10","0","0.0","0","280300","196600.0","196100"
"org.openrewrite.staticanalysis.InstanceOfPatternMatch","12","10","0","0.0","0","1732800","458744.0","443900"
"org.openrewrite.java.migrate.SunNetSslPackageUnavailable","12","10","8100","1528.0","1500","12700","3312.0","3200"
"org.openrewrite.java.migrate.cobertura.RemoveCoberturaMavenPlugin","12","10","9700","2172.0","2100","20200","6640.0","6600"
"org.openrewrite.java.migrate.RemovedZipFinalizeMethods","12","10","11200","4600.0","4500","15500","3680.0","3700"
"org.openrewrite.java.migrate.UpdateJakartaAnnotationsIfExistsForJakarta","12","10","1500200","1244160.0","1180500","13700","3312.0","3300"
"org.openrewrite.java.migrate.RemovedPolicy","12","10","9200","1532.0","1500","22700","5600.0","5500"
"org.openrewrite.java.migrate.javax.MigrateXMLInputFactoryNewInstanceToNewFactory","12","10","10800","3064.0","3000","20000","4848.0","4800"
"org.openrewrite.java.migrate.net.URLConstructorToURICreate","12","10","0","0.0","0","1130400","327664.0","312700"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMajorToFeature","12","10","13400","3952.0","3900","11300","2800.0","2700"
"org.openrewrite.java.migrate.ArrayStoreExceptionToTypeNotPresentException","12","10","0","0.0","0","36500","10744.0","10700"
"org.openrewrite.java.migrate.jacoco.UpgradeJaCoCo","12","10","16500","8184.0","8000","10800","3184.0","3100"
"org.openrewrite.java.migrate.UseJavaUtilBase64","12","10","0","0.0","0","314400","188412.0","184700"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicBooleanWeakCompareAndSetToWeakCompareAndSetPlain","12","10","12100","2808.0","2700","14100","4592.0","4600"
"org.openrewrite.java.migrate.javax.MigrateAbstractElementVisitor6To9","12","10","8600","1660.0","1600","20400","3040.0","3000"
"org.openrewrite.java.dependencies.UpgradeDependencyVersion","12","10","776291300","9960960.0","747150900","15866300","1310208.0","3578700"
"org.openrewrite.maven.UpdateMavenProjectPropertyJavaVersion","12","10","0","0.0","0","19211900","1.8874364E7","17945000"
"org.openrewrite.java.migrate.javax.MigrateSimpleElementVisitor6To9","12","10","8500","1392.0","1400","19800","4080.0","4000"
"org.openrewrite.java.dependencies.AddDependency","12","10","21976900","1.467904E7","14575900","2010600","409344.0","408800"
"org.openrewrite.java.migrate.logging.JavaLoggingAPIs","12","10","11300","3056.0","3000","31400","5088.0","5100"
"org.openrewrite.java.migrate.javax.AddInjectDependencies","12","10","20400","6128.0","6000","16900","7152.0","7100"
"org.openrewrite.java.migrate.logging.MigrateLoggerGlobalToGetGlobal","12","10","0","0.0","0","131200","77808.0","77500"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerArrayWeakCompareAndSetToWeakCompareAndSetPlain","12","10","16800","8700.0","8400","16900","4592.0","4500"
"org.openrewrite.java.migrate.DeprecatedJavaxSecurityCert","12","10","27700","21500.0","20700","49900","24544.0","23900"
"org.openrewrite.java.migrate.javax.JavaxLangModelUtil","12","10","13300","3192.0","3100","17000","3552.0","3500"
"org.openrewrite.jenkins.UpgradeJavaVersion","12","10","235400","139232.0","134400","1280400","556800.0","528000"
"org.openrewrite.maven.AddDependency","12","10","536800","458688.0","443400","49600","11648.0","11500"
"org.openrewrite.java.migrate.BouncyCastleFromJdk15OnToJdk15to18","12","10","14300","6396.0","6200","31000","5568.0","5600"
"org.openrewrite.java.migrate.lang.MigrateClassLoaderDefineClass","12","10","0","0.0","0","2104000","557048.0","549300"
"org.openrewrite.java.migrate.javax.JavaxManagementMonitorAPIs","12","10","8100","1852.0","1800","17300","3056.0","3000"
"org.openrewrite.java.migrate.lang.JavaLangAPIs","12","10","10900","2416.0","2400","20700","4576.0","4400"
"org.openrewrite.java.migrate.IllegalArgumentExceptionToAlreadyConnectedException","12","10","0","0.0","0","29500","13820.0","13500"
"org.openrewrite.java.migrate.DeleteDeprecatedFinalize","12","10","17600","3952.0","3900","17100","5616.0","5600"
"org.openrewrite.java.migrate.Jre17AgentMainPreMainPublic","12","10","10800","3312.0","3300","56700","45040.0","43100"
"org.openrewrite.java.migrate.nio.file.PathsGetToPathOf","12","10","11100","2168.0","2100","40500","18400.0","17500"
"org.openrewrite.java.migrate.RemovedSSLSessionGetPeerCertificateChainMethodImpl","12","10","15200","5616.0","5400","17600","3440.0","3400"
"org.openrewrite.java.ChangeMethodName","12","10","0","0.0","0","20161100","393212.0","405100"
"org.openrewrite.java.migrate.lombok.UpdateLombokToJava11","12","10","10900","2812.0","2700","20900","5856.0","5800"
"org.openrewrite.java.migrate.javax.AddCommonAnnotationsDependencies","12","10","17500","5104.0","4900","16400","5872.0","5800"
"org.openrewrite.java.migrate.net.MigrateURLDecoderDecode","12","10","0","0.0","0","446500","77820.0","74600"
"org.openrewrite.java.migrate.util.OptionalNotPresentToIsEmpty","12","10","0","0.0","0","438200","81904.0","78700"
"org.openrewrite.java.migrate.ReferenceCloneMethod","12","10","0","0.0","0","22700","5112.0","5100"
"org.openrewrite.java.migrate.javax.AddJaxbDependenciesWithRuntime","12","10","13700","5884.0","5700","28900","5856.0","5700"
"org.openrewrite.java.migrate.sql.JavaSqlAPIs","12","10","14700","4344.0","4300","53000","31712.0","30800"
"org.openrewrite.java.migrate.RemovedSubjectMethods","12","10","10600","2556.0","2500","23300","5616.0","5600"
"org.openrewrite.java.migrate.AddMissingMethodImplementation","12","10","0","0.0","0","1118600","98300.0","117100"
"org.openrewrite.java.migrate.util.IteratorNext","12","10","0","0.0","0","228600","43000.0","41200"
"org.openrewrite.maven.UseMavenCompilerPluginReleaseConfiguration","12","10","0","0.0","0","12760500","1.1534332E7","11288700"
"org.openrewrite.java.migrate.util.StreamFindFirst","12","10","0","0.0","0","194800","34808.0","33400"
"org.openrewrite.java.migrate.ThreadStopDestroy","12","10","19600","12284.0","12000","16000","4848.0","4800"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicLongWeakCompareAndSetToWeakCompareAndSetPlain","12","10","12000","2808.0","2800","27200","6880.0","6700"
"org.openrewrite.java.migrate.BounceCastleFromJdk15OntoJdk18On","12","10","14900","5884.0","5700","27800","5344.0","5300"
"org.openrewrite.staticanalysis.RemoveExtraSemicolons","12","10","0","0.0","0","1644800","458744.0","452300"
"org.openrewrite.java.migrate.javax.MigrateXMLOutputFactoryNewInstanceToNewFactory","12","10","13300","5116.0","4900","25000","10224.0","10200"
"org.openrewrite.java.migrate.javax.MigrateSimpleTypeVisitor6To9","12","10","8100","1532.0","1500","16100","3168.0","3100"
"org.openrewrite.java.ChangeMethodTargetToStatic","12","10","0","0.0","0","88600","9724.0","9500"
"org.openrewrite.java.migrate.javax.MigrateElementScanner6To9","12","10","9900","1660.0","1600","27300","14320.0","13900"
"org.openrewrite.java.ChangeType","12","10","0","0.0","0","17775900","524280.0","918900"
"org.openrewrite.maven.RemovePlugin","12","10","0","0.0","0","1341700","1376252.0","1336600"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsJavaLetterToIsJavaIdentifierStart","12","10","9500","2040.0","2000","9200","2032.0","2000"
"org.openrewrite.java.migrate.javax.AddJaxwsDependencies","12","10","22400","3520.0","3500","19400","6896.0","6700"
"org.openrewrite.java.migrate.javax.AddJaxbAPIDependencies","12","10","15100","4604.0","4500","12700","2928.0","2900"
"org.openrewrite.java.migrate.lang.UseTextBlocks","12","10","0","0.0","0","4133200","2490360.0","2459700"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsJavaLetterOrDigitToIsJavaIdentifierPart","12","10","8500","1904.0","1900","12000","2800.0","2800"
"org.openrewrite.java.migrate.logging.MigrateLogRecordSetMillisToSetInstant","12","10","0","0.0","0","203600","40956.0","39300"
"org.openrewrite.java.migrate.util.UseLocaleOf","12","10","0","0.0","0","341100","106488.0","103100"
